No, Teacher ID, First Name, Last Name, Gender, Social ID, Faculty, Password
1, 12101345, Nguyen Le Anh, Tu, Nam, 234887615, CNTT, 123456789 
2, 12596361, Mai Thi Lan, Vy, Nu, 98621983, CNTT, 123456789
3, 12358685, Tran Huy, Quang, 165089650, CNTT, 123456789
4, 12876513, Nguyen Le Hoang, Dung, 568369102, CNTT, 123456789
5, 12376845, Vo Van, Viet, 486215366, CNTT, 123456789
6, 13535241, Cao Anh, Tuan, Nam 865414966, Toan - Tin hoc, 123456789
7, 13873521, Dao Minh, Huy, 568489651, Toan - Tin hoc, 123456789
8, 13543210, Huynh Tuan, Khai, 835118950, Toan - Tin hoc, 123456789
9, 13563648, Bui Anh Tuan, 167852014, Toan - Tin hoc, 123456789
10, 13854866, Nguyen Minh, Huy, 568901002, Toan - Tin hoc, 123456789
11, 14687954, Tran Nhu, Ngoc, 105823695, Hoa hoc, 123456789
12, 14568765, Ho Thi Kieu, Linh, 159836471, Hoa hoc, 123456789
13, 14987654, Kieu Minh, Tuan, 895633147, Hoa hoc, 123456789
14, 14865301, Ly Minh, Duong, 159878356, Hoa hoc, 123456789
15, 14621305, Cao Minh, Hieu, 159832571, Hoa hoc, 123456789
16, 15168743, Hoang Minh, Dat, 853320105, Sinh hoc, 123456789
17, 15998643, Tran Minh, Tai, 871000235, Sinh hoc, 123456789
18, 15986332, Huynh Tan, Phat, 589317770, Sinh hoc, 123456789
19, 15164546, Nguyen Minh, Tri, 123356920, Sinh hoc, 123456789
20, 15985321, Nguyen Thi, Huyen, 236866185, Sinh hoc, 123456789
21, 16865353, Tran Thi Nhu, Y, 123369084, Vat ly hoc, 123456789
22, 16863165, Ly Minh, Cuong, 594487662, Vat ly hoc, 123456789
23, 16865130, Nguyen Huy, Hoang, 458999631, Vat ly hoc, 123456789
24, 16205358, Nguyen Thu, Huyen, 461023995, Vat ly hoc, 123456789
25, 16983531, Nguyen Duy, Khuong, 369410140, Vat ly hoc, 123456789
26, 17353105, Tran Khanh, Doan, 986602013, Moi Truong hoc, 123456789
27, 17895320, Phan Minh, Duy, 870136952, Moi Truong hoc, 123456789
28, 17654308, Tran Minh, Huong, 841023694, Moi Truong hoc, 123456789
29, 17650866, Nguyen Duc, Kien, 636911022, Moi Truong hoc, 123456789
30, 17086541, Vo Van, Toan, 102369425, Moi Truong hoc, 123456789
31, 20685632, Vo Viet, Tho, 156502566, Dai cuong, 123456789
32, 20569862, Le Viet, Thang, 15984160, Dai cuong, 123456789
33, 20589854, Le Hoan, My, 159877818, Dai cuong, 123456789
34, 20598736, Nguyen Minh Hoang, Duc, 589835990, Dai cuong, 123456789
35, 20325519, Nguyen Duy, Duc, 540235102, Dai cuong, 123456789
36, 20891163, Nguyen Thi, Nga, 598763059, Dai cuong, 123456789
37, 20543059, Nguyen Tri, Hoan, 448033691, Dai cuong, 123456789
38, 20483033, Tran Nam, Thien, 159871002, Dai cuong, 123456789
39, 20130598, Tran Chi, Cong, 105920316, Dai cuong, 123456789
40, 20445992, Phan Trung, Tin, 102557446, Dai cuong, 123456789
