No	Student ID	First Name	Last Name	Gender	Date of Birth	Social ID
1	20120001	Nguyen Khai	Huy	Nam	16/7/2002	1973635486
2	20120002	Nguyen Nhat	Huy	Nam	12/8/2002	4354354354
3	20120003	Vu Quang	Huy	Nam	16/3/2001	8673515832
4	20120004	Nguyen Le Dieu	Huyen	Nu	15/7/2002	3466521323
5	20120005	Tran Nguyen Trong	Khai	Nam	22/1/2000	1354768540
6	20120006	Huynh Bao	Khang	Nam	11/12/2001	8743213201
7	20120007	Truong Quoc	Khang	Nam	13/2/2002	3216560863
8	20120008	Tran Dang Quoc	Khanh	Nam	16/6/1998	2138406543
9	20120009	Vo Tuan	Kiet	Nam	18/8/1999	3546843510
10	20120010	Phan Tien	Ky	Nam	16/3/2002	9895354874
11	20120011	Dang Yen	Linh	Nu	14/4/2000	3210186083
12	20120012	Tran Hoang Gia	Linh	Nam	13/9/2002	8746840680
13	20120013	Tran Nguyen Tien	Loc	Nam	15/2/2002	6874076846
14	20120014	Ha Thanh	Long	Nam	17/11/2002	3218786874
15	20120015	Mai Thi Thao	Ly	Nu	26/2/2002	4868876351
16	20120016	Nguyen Duc	Manh	Nam	29/7/2002	8764086756
17	20120017	Tran Le	Minh	Nam	23/3/2002	6870680687
18	20120018	Dang Thanh	My	Nu	15/4/2002	8067608000
19	20120019	Dao Thanh	Nguyen	Nam	25/5/2001	8734053053
20	20120020	Vo Van Hoang	Nhat	Nam	13/9/2002	6232548608
